,Open,High,Low,Close,Volume,Symbol,Name,MA_5,MA_10,MA_20,MA_50,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,Daily_Return,Volatility,Volume_MA,Price_Change,Price_Change_Pct,High_Low_Range,High_Low_Range_Pct,Year,Month,Day,DayOfWeek,Quarter,DayName,MonthPeriod,Close_lag_1,Close_lag_2,Close_lag_3,Close_lag_5,Volume_lag_1,Volume_lag_2,Volume_lag_3,Volume_lag_5,Daily_Return_lag_1,Daily_Return_lag_2,Daily_Return_lag_3,Daily_Return_lag_5,RSI_lag_1,RSI_lag_2,RSI_lag_3,RSI_lag_5
1970-01-01 00:00:00.000000049,57547.73037269087,57547.73037269087,55993.30585553637,56770.51811411362,1995792,005930.KS,삼성전자,57753.555117116644,58906.7435916582,60746.287790187445,66360.37550200909,59171.31340009078,61346.84185133323,-2175.5284512424478,-2105.108167694956,-70.42028354749164,26.011165345731314,60746.287790187445,65890.58469669046,55601.99088368442,10288.593813006046,0.11357501828403793,-0.03476080310725471,0.31849366907723176,2830431.8,-777.2122585772522,-1.350552408485733,1554.4245171545044,2.7760899153997887,1970,1,1,3,1,Thursday,Early,58814.97383950706,58384.5416419611,57147.72517026913,58462.46289475047,4006593.0,4816714.0,1381926.0,2567234.0,0.007372365791369129,0.021642444524378357,-0.008712775419195906,-0.02907043980734858,27.05737280064986,30.64910928497281,21.046943553764862,36.060607732523344
1970-01-01 00:00:00.000000050,58118.33068260559,58162.11501012762,56171.628330414576,57166.871670271095,2597241,005930.KS,삼성전자,57656.926087224405,58581.44052479302,60482.8895174183,66089.1049391302,58862.87621994656,61030.97869859559,-2168.1024786490307,-2117.7071737409897,-50.395304908041,26.587539674479103,60482.8895174183,65799.72382573561,55166.05520910099,10633.668616634619,0.1881586245823158,0.006981679387895845,0.3203313324968556,2860468.55,-951.459012334497,-1.6371065740524822,1990.4866797130453,3.5435801647132963,1970,1,1,3,1,Thursday,Early,56770.51811411362,58814.97383950706,58384.5416419611,57650.01681973232,1995792.0,4006593.0,4816714.0,3897047.0,-0.03476080310725471,0.007372365791369129,0.021642444524378357,-0.01389688416789392,26.011165345731314,27.05737280064986,30.64910928497281,21.970769510734513
1970-01-01 00:00:00.000000051,56989.240328669,57847.75266667947,55662.59957325079,56755.17611996513,4039045,005930.KS,삼성전자,57578.416277163604,58191.23879815332,60081.69890944448,65812.80495696778,58538.55992241151,60708.35517957992,-2169.7952571684145,-2128.124885585868,-41.67037158254652,31.500303851890237,60081.69890944448,65242.212104384096,54921.18571450486,10321.026389879233,0.17769457573121528,-0.007201645608326368,0.27979646235733374,3004985.5,-234.06420870387228,-0.41071649201493915,2185.1530934286857,3.9257115373367917,1970,1,1,3,1,Thursday,Early,57166.871670271095,56770.51811411362,58814.97383950706,57147.72517026913,2597241.0,1995792.0,4006593.0,1381926.0,0.006981679387895845,-0.03476080310725471,0.007372365791369129,-0.008712775419195906,26.587539674479103,26.011165345731314,27.05737280064986,21.046943553764862
1970-01-01 00:00:00.000000052,56616.42525487418,56616.42525487418,55413.92906730229,56015.17716108824,4874511,005930.KS,삼성전자,57104.54338098903,57738.03411641585,59642.76321538295,65502.71629642476,58150.2917341672,60354.72703783387,-2204.4353036666726,-2143.387080730645,-61.04822293602774,34.117227972243995,59642.76321538295,64605.26071116377,54680.265719602125,9924.994991561645,0.13449996122124758,-0.01303844000611909,0.2795646692600265,3103854.2,-601.2480937859364,-1.0619676022978406,1202.4961875718873,2.1700251323298345,1970,1,1,3,1,Thursday,Early,56755.17611996513,57166.871670271095,56770.51811411362,58384.5416419611,4039045.0,2597241.0,1995792.0,4816714.0,-0.007201645608326368,0.006981679387895845,-0.03476080310725471,0.021642444524378357,31.500303851890237,26.587539674479103,26.011165345731314,30.64910928497281
1970-01-01 00:00:00.000000053,55580.630042769975,57876.2656839539,55580.630042769975,56728.44786336194,3342801,005930.KS,삼성전자,56687.238185760005,57389.59112950201,59306.40441584408,65162.607253171205,57931.52008366575,60081.83710572633,-2150.3170220605753,-2144.7730770991748,-5.543944961400484,36.90895376945164,59306.40441584408,64089.44230777118,54523.36652391698,9566.075783854205,0.23051054468612237,0.012733525776817078,0.2831988599635024,3138924.15,1147.8178205919612,2.065139995190233,2295.6356411839224,4.130279990380466,1970,1,1,3,1,Thursday,Early,56015.17716108824,56755.17611996513,57166.871670271095,58814.97383950706,4874511.0,4039045.0,2597241.0,4006593.0,-0.01303844000611909,-0.007201645608326368,0.006981679387895845,0.007372365791369129,34.117227972243995,31.500303851890237,26.587539674479103,27.05737280064986
1970-01-01 00:00:00.000000054,57592.86880990221,58629.97976393708,57223.12451701266,57926.55214047487,2004121,005930.KS,삼성전자,56918.44499103226,57336.00005407445,58976.16933901895,64852.62897306868,57930.75570654676,59919.8355845632,-1989.0798780164405,-2113.6342916525928,124.55441363615228,38.581351564181496,58976.16933901895,63107.99021683287,54844.34846120502,8263.641755627847,0.37298370021555616,0.02111999044991908,0.2879171038723279,3053240.7,333.68333057266136,0.579383068542836,1406.8552469244241,2.45854321797154,1970,1,1,3,1,Thursday,Early,56728.44786336194,56015.17716108824,56755.17611996513,56770.51811411362,3342801.0,4874511.0,4039045.0,1995792.0,0.012733525776817078,-0.01303844000611909,-0.007201645608326368,-0.03476080310725471,36.90895376945164,34.117227972243995,31.500303851890237,26.011165345731314
1970-01-01 00:00:00.000000055,58126.19559461992,59942.6690935652,58126.19559461992,59034.43234409256,2846315,005930.KS,삼성전자,57291.95712579655,57474.441606510474,58778.49756230899,64570.95068845941,58100.56680593997,59853.35695307246,-1752.790147132495,-2041.465192731917,288.6750455994222,43.117171966632114,58778.49756230899,62455.45052485577,55101.544599762216,7353.905925093553,0.5348025640238674,0.01912560238232408,0.29137562054340593,2929188.05,908.236749472635,1.562525708385945,1816.4734989452772,3.125051416771903,1970,1,1,3,1,Thursday,Early,57926.55214047487,56728.44786336194,56015.17716108824,57166.871670271095,2004121.0,3342801.0,4874511.0,2597241.0,0.02111999044991908,0.012733525776817078,-0.01303844000611909,0.006981679387895845,38.581351564181496,36.90895376945164,34.117227972243995,26.587539674479103
1970-01-01 00:00:00.000000056,58407.921973052566,58677.13783940411,57469.052077258544,58073.09495833133,2349715,005930.KS,삼성전자,57555.540893469784,57566.9785853167,58518.02834708725,64223.12670068547,58096.340058376525,59719.824452135,-1623.4843937584737,-1957.8687827201866,334.38438896171283,40.21297631501324,58518.02834708725,61529.402473219016,55506.65422095549,6022.7482522635255,0.4261245248647564,-0.016284350464452757,0.2934721611436394,2943553.55,-334.8270147212388,-0.5732561669900131,1208.0857621455652,2.1021501459976664,1970,1,1,3,1,Thursday,Early,59034.43234409256,57926.55214047487,56728.44786336194,56755.17611996513,2846315.0,2004121.0,3342801.0,4039045.0,0.01912560238232408,0.02111999044991908,0.012733525776817078,-0.007201645608326368,43.117171966632114,38.581351564181496,36.90895376945164,31.500303851890237
1970-01-01 00:00:00.000000057,57693.08010366111,58458.73152268916,57027.25470232786,57742.99311250851,4573949,005930.KS,삼성전자,57901.104083753846,57502.82373237143,58363.4847615691,63844.78046493444,58041.97562174954,59571.68606589082,-1529.7104441412812,-1872.2369099568064,342.52646581552517,40.226484179293294,58363.4847615691,61185.75274621752,55541.216776920686,5644.535969296834,0.3900721596184836,-0.005684247517024343,0.2637881026556773,2892082.45,49.91300884740485,0.08651472370295143,1431.4768203612985,2.510162601782872,1970,1,1,3,1,Thursday,Early,58073.09495833133,59034.43234409256,57926.55214047487,56015.17716108824,2349715.0,2846315.0,2004121.0,4874511.0,-0.016284350464452757,0.01912560238232408,0.02111999044991908,-0.01303844000611909,40.21297631501324,43.117171966632114,38.581351564181496,34.117227972243995
1970-01-01 00:00:00.000000058,58352.37281715848,59426.37230982168,56882.48258982632,58154.427449824,3024235,005930.KS,삼성전자,58186.30000104626,57436.76909340313,58308.79073685446,63488.29233270814,58059.2768099485,59465.572143301004,-1406.2953333525074,-1779.0484161222578,372.75308276975034,48.63660336485683,58308.79073685446,61101.09775925857,55516.483714450354,5584.614044808215,0.4723591843962843,0.0071252686280711686,0.25038651577555987,2934420.2,-197.9453673344833,-0.33922419565477824,2543.889719995357,4.472184764401164,1970,1,1,3,1,Thursday,Early,57742.99311250851,58073.09495833133,59034.43234409256,56728.44786336194,4573949.0,2349715.0,2846315.0,3342801.0,-0.005684247517024343,-0.016284350464452757,0.01912560238232408,0.012733525776817078,40.226484179293294,40.21297631501324,43.117171966632114,36.90895376945164
